Additional_Commitment_W,Total_Bid_W,Expected_Revenue_dollar_per_MWh,Expected_Penalties_dollar_per_MWh,Net_Profit_dollar_per_MWh
0.0,3230.0,161.5,0,161.5
17.87878787878788,3247.878787878788,162.3939393939394,0,162.3939393939394
35.75757575757576,3265.757575757576,163.28787878787878,0,163.28787878787878
53.63636363636364,3283.6363636363635,164.1818181818182,0,164.1818181818182
71.51515151515152,3301.5151515151515,165.07575757575756,0,165.07575757575756
89.39393939393939,3319.3939393939395,165.96969696969697,0,165.96969696969697
107.27272727272728,3337.2727272727275,166.86363636363637,0,166.86363636363637
125.15151515151516,3355.151515151515,167.75757575757575,0,167.75757575757575
143.03030303030303,3373.030303030303,168.65151515151513,0,168.65151515151513
160.9090909090909,3390.909090909091,169.54545454545456,0,169.54545454545456
178.78787878787878,3408.787878787879,170.43939393939394,0,170.43939393939394
196.66666666666666,3426.6666666666665,171.33333333333331,0,171.33333333333331
214.54545454545456,3444.5454545454545,172.22727272727275,0,172.22727272727275
232.42424242424244,3462.4242424242425,173.12121212121212,0,173.12121212121212
250.3030303030303,3480.3030303030305,174.01515151515153,0,174.01515151515153
268.1818181818182,3498.181818181818,174.9090909090909,0,174.9090909090909
286.06060606060606,3516.060606060606,175.8030303030303,0,175.8030303030303
303.93939393939394,3533.939393939394,176.6969696969697,0,176.6969696969697
321.8181818181818,3551.818181818182,177.5909090909091,0,177.5909090909091
339.6969696969697,3569.6969696969695,178.48484848484847,0,178.48484848484847
357.57575757575756,3587.5757575757575,179.37878787878788,0,179.37878787878788
375.45454545454544,3605.4545454545455,180.27272727272725,0,180.27272727272725
393.3333333333333,3623.3333333333335,181.16666666666669,0,181.16666666666669
411.2121212121212,3641.212121212121,182.06060606060606,0,182.06060606060606
429.0909090909091,3659.090909090909,182.95454545454544,0,182.95454545454544
446.969696969697,3676.969696969697,183.84848484848487,0,183.84848484848487
464.8484848484849,3694.848484848485,184.74242424242425,0,184.74242424242425
482.72727272727275,3712.727272727273,185.63636363636365,0,185.63636363636365
500.6060606060606,3730.6060606060605,186.53030303030303,0,186.53030303030303
518.4848484848485,3748.4848484848485,187.42424242424244,0,187.42424242424244
536.3636363636364,3766.3636363636365,188.3181818181818,0,188.3181818181818
554.2424242424242,3784.242424242424,189.21212121212122,0,189.21212121212122
572.1212121212121,3802.121212121212,190.1060606060606,0,190.1060606060606
590.0,3820.0,191.0,0,191.0
607.8787878787879,3837.878787878788,191.8939393939394,0,191.8939393939394
625.7575757575758,3855.757575757576,192.78787878787878,0,192.78787878787878
643.6363636363636,3873.6363636363635,193.6818181818182,0,193.6818181818182
661.5151515151515,3891.5151515151515,194.57575757575756,0,194.57575757575756
679.3939393939394,3909.3939393939395,195.46969696969697,0,195.46969696969697
697.2727272727273,3927.272727272727,196.36363636363635,0,196.36363636363635
715.1515151515151,3945.151515151515,197.25757575757575,0,197.25757575757575
733.030303030303,3963.030303030303,198.15151515151513,0,198.15151515151513
750.9090909090909,3980.909090909091,199.04545454545456,0,199.04545454545456
768.7878787878788,3998.787878787879,199.93939393939394,0,199.93939393939394
786.6666666666666,4016.6666666666665,200.83333333333331,0,200.83333333333331
804.5454545454545,4034.5454545454545,201.72727272727275,0,201.72727272727275
822.4242424242424,4052.4242424242425,202.62121212121212,0,202.62121212121212
840.3030303030303,4070.30303030303,203.5151515151515,0,203.5151515151515
858.1818181818182,4088.181818181818,204.4090909090909,0,204.4090909090909
876.0606060606061,4106.060606060606,205.3030303030303,0,205.3030303030303
893.939393939394,4123.939393939394,206.1969696969697,0,206.1969696969697
