datetime,actual,Random Forest,Gradient Boosting,Prophet-like,SARIMAX-like,XGBoost-like,Random Forest_error,Random Forest_abs_error,Gradient Boosting_error,Gradient Boosting_abs_error,Prophet-like_error,Prophet-like_abs_error,SARIMAX-like_error,SARIMAX-like_abs_error,XGBoost-like_error,XGBoost-like_abs_error,ensemble_mean,ensemble_median,weighted_ensemble,adaptive_selection,hybrid_prediction
2023-10-19 05:00:00,76.71030308171414,48.47713337236665,41.258273167311785,564.8065033366858,707.9633536970819,45.85357190006423,28.233169709347493,28.233169709347493,35.45202991440236,35.45202991440236,-488.0962002549716,488.0962002549716,-631.2530506153677,631.2530506153677,30.856731181649913,30.856731181649913,281.67176709470203,48.47713337236665,281.67176709470203,467.17043249154847,290.1577276748284
2023-10-19 06:00:00,100.40648102763774,72.7499066831873,31.556090955968326,523.7080786132932,707.9633536970819,21.092162157266724,27.656574344450434,27.656574344450434,68.85039007166941,68.85039007166941,-423.3015975856555,423.3015975856555,-607.5568726694441,607.5568726694441,79.31431887037101,79.31431887037101,271.4139184213595,72.7499066831873,271.4139184213595,116.85178684686278,174.9809276961919
2023-10-19 07:00:00,631.6944736926852,758.0542292419481,528.866259341752,678.7825101989433,707.9633536970819,616.9956852097469,-126.3597555492629,126.3597555492629,102.8282143509332,102.8282143509332,-47.08803650625816,47.08803650625816,-76.26888000439669,76.26888000439669,14.698788482938312,14.698788482938312,658.1324075378943,678.7825101989433,658.1324075378944,685.7601195210716,658.1933766672181
2023-10-19 08:00:00,1471.9564255266403,954.4152516568206,823.9811475280466,987.6083386344255,707.9633536970819,1078.8884058060298,517.5411738698197,517.5411738698197,647.9752779985937,647.9752779985937,484.3480868922147,484.3480868922147,763.9930718295584,763.9930718295584,393.06801972061044,393.06801972061044,910.571299464481,954.4152516568206,910.571299464481,978.6040122438815,964.6445345666109
2023-10-19 09:00:00,2017.1399689233117,1136.163269741014,1069.8070353628489,1265.6746332844843,707.9633536970819,1311.5362603321946,880.9766991822978,880.9766991822978,947.3329335604628,947.3329335604628,751.4653356388274,751.4653356388274,1309.1766152262298,1309.1766152262298,705.6037085911171,705.6037085911171,1098.228910483525,1136.163269741014,1098.2289104835247,1177.3948591411215,1164.6401650505377
2023-10-19 10:00:00,2402.2096686955647,1589.902919427384,1442.9565479488253,1375.3217676535699,707.9633536970819,1731.6493242515417,812.3067492681807,812.3067492681807,959.2531207467393,959.2531207467393,1026.8879010419948,1026.8879010419948,1694.2463149984828,1694.2463149984828,670.560344444023,670.560344444023,1369.5587825956804,1442.9565479488253,1369.5587825956807,1566.3235998251203,1501.0063360956847
2023-10-19 11:00:00,2944.9088861732835,1720.3843134167698,1659.0529747232115,1530.519481975073,707.9633536970819,2060.6258579924834,1224.5245727565136,1224.5245727565136,1285.855911450072,1285.855911450072,1414.3894041982105,1414.3894041982105,2236.9455324762016,2236.9455324762016,884.2830281808001,884.2830281808001,1535.7091963609241,1659.0529747232115,1535.7091963609241,1767.05424167273,1710.096042280778
2023-10-19 12:00:00,3058.754873134098,1756.2151849984282,1775.294529744564,1747.589449074224,707.9633536970819,2132.2606828582025,1302.5396881356698,1302.5396881356698,1283.460343389534,1283.460343389534,1311.165424059874,1311.165424059874,2350.791519437016,2350.791519437016,926.4941902758956,926.4941902758956,1623.8646400745001,1756.2151849984282,1623.8646400745001,1829.323670879182,1787.1815578726453
2023-10-19 13:00:00,2710.562611543196,1728.5010244364944,1690.66475929554,1504.230094589302,707.9633536970819,2035.2537058093578,982.0615871067016,982.0615871067016,1019.8978522476559,1019.8978522476559,1206.332516953894,1206.332516953894,2002.5992578461141,2002.5992578461141,675.3089057338382,675.3089057338382,1533.322587565555,1690.66475929554,1533.3225875655555,1761.9732977870717,1702.3040242807708
2023-10-19 14:00:00,2412.0371375523187,1664.8821236729318,1509.5258533482588,1463.0784848252508,707.9633536970819,1809.618721189721,747.1550138793868,747.1550138793868,902.5112842040598,902.5112842040598,948.9586527270678,948.9586527270678,1704.0737838552368,1704.0737838552368,602.4184163625976,602.4184163625976,1431.013707346649,1509.5258533482588,1431.013707346649,1638.1425780300838,1568.873371320294
