datetime,hour,actual_generation,Realistic Hybrid_prediction,Realistic Hybrid_error,XGBoost_prediction,XGBoost_error,Prophet+XGBoost_prediction,Prophet+XGBoost_error,Prophet_prediction,Prophet_error,SARIMAX_prediction,SARIMAX_error,Random Forest_prediction,Random Forest_error,Gradient Boosting_prediction,Gradient Boosting_error
2023-06-15 00:00:00,0,0.0,21.349367776696397,-21.349367776696397,0.0,0.0,63.575862241142715,-63.575862241142715,22.29784279765289,-22.29784279765289,38.168179242837454,-38.168179242837454,0.0,0.0,31.872742085241974,-31.872742085241974
2023-06-15 01:00:00,1,12.121525704436152,52.21072081387807,-40.08919510944192,0.0,12.121525704436152,125.5697132159967,-113.44818751156055,0.0,12.121525704436152,0.0,12.121525704436152,0.0,12.121525704436152,0.0,12.121525704436152
2023-06-15 02:00:00,2,56.585577036315904,47.814643919721135,8.770933116594769,95.61588199199853,-39.03030495568263,27.563515788740766,29.022061247575138,0.0,56.585577036315904,0.0,56.585577036315904,0.0,56.585577036315904,0.0,56.585577036315904
2023-06-15 03:00:00,3,5.237334384955169,36.58154527824351,-31.34421089328834,53.261354127345896,-48.02401974239073,107.09382256053937,-101.85648817558419,0.0,5.237334384955169,299.79958054299084,-294.5622461580357,0.0,5.237334384955169,130.5777958870328,-125.34046150207763
2023-06-15 04:00:00,4,7.726511721682931,74.4936028870411,-66.76709116535818,0.0,7.726511721682931,27.563515788740766,-19.837004067057833,0.0,7.726511721682931,178.51895022835438,-170.79243850667146,29.260396495397625,-21.533884773714696,0.0,7.726511721682931
2023-06-15 05:00:00,5,0.0,28.31176841391281,-28.31176841391281,0.0,0.0,51.08370811616581,-51.08370811616581,20.75114471997552,-20.75114471997552,0.0,0.0,44.842081896708095,-44.842081896708095,0.0,0.0
2023-06-15 06:00:00,6,0.0,77.61033249027443,-77.61033249027443,60.24614608892871,-60.24614608892871,27.563515788740766,-27.563515788740766,24.187863226531412,-24.187863226531412,0.0,0.0,0.0,0.0,0.0,0.0
2023-06-15 07:00:00,7,1081.9922998873603,956.6411224728326,125.35117741452768,918.0482308951987,163.94406899216165,1021.2934932760348,60.698806611325494,1244.2867135258448,-162.29441363848446,0.0,1081.9922998873603,1150.0821199154457,-68.08982002808534,1084.1881350559333,-2.195835168573012
2023-06-15 08:00:00,8,1894.2214571988925,1815.4443097354813,78.77714746341121,1936.0730074176884,-41.851550218795865,2096.1793432842646,-201.95788608537214,2171.0915224345244,-276.87006523563196,785.7490655207735,1108.472391678119,1939.6970342931204,-45.4755770942279,1926.6032680820717,-32.38181088317924
2023-06-15 09:00:00,9,2901.983968804215,2513.7466413342545,388.2373274699603,2636.7240891035585,265.25987970065626,2744.090236345184,157.89373245903062,2935.3087800962685,-33.32481129205371,1363.7252259341449,1538.25874287007,2693.0986888479956,208.88527995621916,2740.985995314074,160.9979734901408
2023-06-15 10:00:00,10,3192.27315476433,3002.3434527489117,189.92970201541812,3096.480824790547,95.79232997378267,3277.5618209343256,-85.28866616999585,3403.946724594032,-211.67356982970205,2140.700101435588,1051.573053328742,3249.4981614185617,-57.22500665423195,3347.9385569005176,-155.66540213618782
2023-06-15 11:00:00,11,4435.561457698787,3520.0132555486152,915.5482021501721,3810.326521574414,625.2349361243732,3904.592520025983,530.9689376728043,3832.6386656187638,602.9227920800236,3231.3168755891766,1204.2445821096107,3837.143880712767,598.4175769860203,3877.9871916969314,557.5742660018559
2023-06-15 12:00:00,12,3571.9435283823573,3511.911931544437,60.03159683792046,3641.8260231788404,-69.88249479648312,3815.033996648753,-243.09046826639587,3964.822915555773,-392.8793871734156,3328.769030483852,243.17449789850525,3849.5184461641197,-277.57491778176245,3917.495745331524,-345.5522169491669
2023-06-15 13:00:00,13,3626.211120287973,3305.844398440691,320.36672184728195,3737.185885394817,-110.97476510684419,3699.7542025352054,-73.54308224723263,3787.057664225705,-160.84654393773235,3473.2534826169467,152.95763767102608,3674.4376789142993,-48.22655862632655,3880.3414131483437,-254.1302928603709
2023-06-15 14:00:00,14,3447.323160867988,3150.2356288075134,297.0875320604746,3329.4343417629857,117.88881910500231,3352.0140021511415,95.30915871684647,3388.911317515992,58.41184335199614,3255.3596423530507,191.96351851493728,3436.6443232272422,10.678837640745769,3354.009049768546,93.31411109944202
2023-06-15 15:00:00,15,2321.9001991218943,2425.564220114844,-103.66402099294965,2652.813537125074,-330.9133380031799,2684.250749917043,-362.3505507951486,2509.1887989115767,-187.2885997896824,2176.1427075394045,145.75749158248982,2748.377468298827,-426.4772691769326,2720.424038675851,-398.5238395539568
2023-06-15 16:00:00,16,2140.60607387895,1779.3764237387736,361.22965014017655,1955.8501348249279,184.7559390540223,1930.8272992824266,209.7787745965236,1788.0227676093139,352.5833062696363,1062.1815398602346,1078.4245340187156,1857.5049597537402,283.10111412520996,1967.4869076403068,173.1191662386434
2023-06-15 17:00:00,17,1011.9268430648491,902.6436326125961,109.283210452253,1030.7725350234662,-18.845691958617067,1000.4775653997964,11.449277665052705,938.5961892735955,73.33065379125355,393.62063883024825,618.3062042346008,999.213452747173,12.713390317676044,1004.4666909264896,7.46015213835949
2023-06-15 18:00:00,18,42.083829328083475,60.650887233552666,-18.56705790546919,0.0,42.083829328083475,42.71959219602301,-0.6357628679395333,163.79191369041948,-121.708084362336,258.74597941054077,-216.6621500824573,2.5280449045162254,39.555784423567246,0.0,42.083829328083475
2023-06-15 19:00:00,19,0.0,30.330254723936687,-30.330254723936687,10.191136376373356,-10.191136376373356,29.30273428277504,-29.30273428277504,9.188917457111646,-9.188917457111646,0.0,0.0,30.87533944143236,-30.87533944143236,0.0,0.0
2023-06-15 20:00:00,20,17.605712814008108,36.24431312028166,-18.638600306273553,27.95546013072638,-10.349747316718272,109.25220304358677,-91.64649022957866,124.10102837863768,-106.49531556462958,0.0,17.605712814008108,72.27810435454951,-54.672391540541405,0.0,17.605712814008108
2023-06-15 21:00:00,21,65.71366877429935,21.349367776696397,44.36430099760295,43.62707957152397,22.08658920277538,40.56276971033847,25.15089906396088,13.597832232584663,52.115836541714685,6.671351987860739,59.04231678643861,51.081255876030596,14.632412898268754,0.0,65.71366877429935
2023-06-15 22:00:00,22,0.0,40.687620806906764,-40.687620806906764,57.71771692044619,-57.71771692044619,37.79118174550937,-37.79118174550937,92.25961491427647,-92.25961491427647,86.59875384180756,-86.59875384180756,0.0,0.0,0.0,0.0
2023-06-15 23:00:00,23,0.0,39.049177120429704,-39.049177120429704,0.0,0.0,87.08245999632254,-87.08245999632254,82.12638772416625,-82.12638772416625,229.4908763683785,-229.4908763683785,0.0,0.0,12.002250289210293,-12.002250289210293
