iteration,datetime,actual,Iterative Random Forest,Iterative Gradient Boosting,Online Learning SGD,Adaptive Ensemble,Iterative Random Forest_error,Iterative Gradient Boosting_error,Online Learning SGD_error,Adaptive Ensemble_error
0,2023-05-28 07:00:00,432.1788634384711,433.50640049943286,445.9626911303815,384.1942721284962,421.22112125277016,1.3275370609617312,13.783827691910346,47.98459130997492,10.957742185700965
1,2023-05-28 08:00:00,706.6442693710437,940.0069222809666,1013.5056390571804,818.0041597143293,923.8389070174921,233.36265290992287,306.86136968613664,111.35989034328554,217.19463764644843
2,2023-05-28 09:00:00,1520.2945606215767,1370.4079377040805,1374.0622940651263,1396.504184889598,1380.3248055529348,149.8866229174962,146.23226655645044,123.79037573197866,139.96975506864192
3,2023-05-28 10:00:00,1649.607544731103,1714.6163051791254,1636.479718036531,1701.5067052565869,1684.2009094907476,65.00876044802249,13.127826694571922,51.89916052548392,34.5933647596446
4,2023-05-28 11:00:00,1851.3092366922722,1782.158970148968,1765.279557880127,1981.5657624659316,1843.0014301650087,69.15026654330427,86.02967881214522,130.2565257736594,8.307806527263438
5,2023-05-28 12:00:00,1801.4510122635875,1795.3780521623478,1785.7114105526823,1871.7953544896754,1817.6282724015684,6.072960101239687,15.739601710905163,70.34434222608797,16.177260137980966
6,2023-05-28 13:00:00,1903.8469505834105,1873.269358260847,1891.0254409685188,1943.595017591494,1902.6299389402866,30.577592322563532,12.821509614891738,39.74806700808358,1.2170116431238966
7,2023-05-28 14:00:00,1479.8010208706435,1514.21151175406,1497.7366991013505,1500.83181949036,1504.2600101152566,34.410490883416514,17.935678230707026,21.030798619716506,24.45898924461312
8,2023-05-28 15:00:00,1459.9259528245452,1469.6054471490293,1525.0826849454215,1431.7801948277051,1475.4894423073854,9.67949432448404,65.15673212087631,28.145757996840075,15.563489482840168
9,2023-05-28 16:00:00,1126.536988395333,950.5592672424768,1052.4054853528762,991.9062061049673,998.2903195667734,175.97772115285625,74.13150304245687,134.6307822903658,128.24666882855968
10,2023-05-28 17:00:00,448.77749573976484,520.505097886275,530.31624762732,519.4094535322815,523.4102663486256,71.72760214651021,81.53875188755512,70.63195779251669,74.63277060886071
11,2023-05-28 18:00:00,23.053240611367148,13.438330986196362,11.506912988022398,61.677445323074494,28.87422976576442,9.614909625170785,11.54632762334475,38.62420471170735,5.820989154397271
12,2023-05-28 19:00:00,0.0,24.403482585449247,17.208684973876572,11.052466746284495,17.554878101870102,24.403482585449247,17.208684973876572,11.052466746284495,17.554878101870102
13,2023-05-28 20:00:00,0.0,10.39762897425,4.943484196079366,-89.18662617857444,-24.615171002748358,10.39762897425,4.943484196079366,89.18662617857444,24.615171002748358
14,2023-05-28 21:00:00,116.34480814371925,73.09404160363455,77.4446270182139,24.642661687413693,58.39377676975404,43.2507665400847,38.900181125505355,91.70214645630556,57.95103137396521
15,2023-05-28 22:00:00,34.305680480971844,14.445094590929221,29.939759254775097,110.50473355029214,51.62986246533215,19.86058589004262,4.365921226196747,76.1990530693203,17.324181984360308
16,2023-05-28 23:00:00,0.0,38.738685166388684,33.146749181549936,55.898349965112516,42.59459477101704,38.738685166388684,33.146749181549936,55.898349965112516,42.59459477101704
17,2023-05-29 00:00:00,0.0,9.897098381173036,8.205816143504865,-23.326311908275784,-1.7411324611992942,9.897098381173036,8.205816143504865,23.326311908275784,1.7411324611992942
18,2023-05-29 01:00:00,0.0,2.4951657338702016,1.6325807184594836,21.1151492049338,8.414298552421162,2.4951657338702016,1.6325807184594836,21.1151492049338,8.414298552421162
19,2023-05-29 02:00:00,79.97048348747869,23.49568263745784,21.57863372263964,-11.544845173131193,11.176490395655428,56.47480085002085,58.39184976483905,91.51532866060988,68.79399309182327
20,2023-05-29 03:00:00,70.12324098338424,22.49988908827416,36.83107105234343,93.71163413652016,51.014198092379246,47.623351895110076,33.2921699310408,23.588393153135925,19.10904289100499
21,2023-05-29 04:00:00,0.0,22.18027151394939,53.88565775222671,56.0081362126416,44.02468849293923,22.18027151394939,53.88565775222671,56.0081362126416,44.02468849293923
22,2023-05-29 05:00:00,0.0,19.818602863586182,14.627820359088961,-16.73573718289981,5.903562013258444,19.818602863586182,14.627820359088961,16.73573718289981,5.903562013258444
23,2023-05-29 06:00:00,11.811048030953335,1.7571419136324387,-5.042560971517475,19.68385716324508,5.466146035120014,10.053906117320897,16.85360900247081,7.872809132291744,6.344901995833322
24,2023-05-29 07:00:00,414.83153174204074,446.27236108718637,483.4280999636881,399.3871142313421,443.02919176073885,31.44082934514563,68.59656822164737,15.444417510698656,28.197660018698116
25,2023-05-29 08:00:00,900.58343408008,936.0085239017949,995.850055371779,805.0332824232096,912.2972872322612,35.42508982171489,95.26662129169904,95.55015165687041,11.713853152181173
26,2023-05-29 09:00:00,1464.12197973199,1406.766868106047,1349.1248831486266,1427.7897780220987,1394.5605097589241,57.35511162594298,114.99709658336337,36.33220170989125,69.56146997306587
27,2023-05-29 10:00:00,1471.2141708178306,1641.654157072385,1520.8839023116639,1659.778107669782,1607.4387223512767,170.43998625455447,49.6697314938333,188.56393685195144,136.22455153344617
28,2023-05-29 11:00:00,1654.7922770966552,1754.7724988900954,1724.325360109255,1716.4741319215777,1731.8573303069757,99.98022179344025,69.53308301259972,61.68185482492254,77.06505321032046
29,2023-05-29 12:00:00,1927.8897133841665,1782.135558349083,1767.3124754297046,1720.865411496934,1756.7711484252404,145.7541550350834,160.5772379544619,207.02430188723247,171.11856495892607
30,2023-05-29 13:00:00,1818.3442671879209,1751.3957472217944,1729.9374430119462,1807.4227549218203,1762.918648385187,66.94851996612647,88.40682417597463,10.921512266100535,55.42561880273388
31,2023-05-29 14:00:00,1645.4595324626666,1578.5704091726648,1557.6526131427072,1676.3593835702138,1604.1941352951953,66.88912329000186,87.80691931995943,30.899851107547192,41.26539716747129
32,2023-05-29 15:00:00,1195.2956413536967,1404.6549547291243,1312.4812783183509,1320.6568127115247,1345.931015253,209.35931337542752,117.18563696465412,125.36117135782797,150.6353738993032
33,2023-05-29 16:00:00,908.4703468497864,964.1136113689192,1052.32319971893,984.893539490044,1000.443450192631,55.6432645191328,143.8528528691436,76.42319264025753,91.97310334284452
34,2023-05-29 17:00:00,583.7286777824049,516.9697981409311,535.215191603659,401.64182823757506,484.6089393273884,66.75887964147387,48.51348617874589,182.08684954482987,99.11973845501655
35,2023-05-29 18:00:00,0.0,12.922951809597775,2.2447697864578,12.456258229852665,9.207993275302746,12.922951809597775,2.2447697864578,12.456258229852665,9.207993275302746
36,2023-05-29 19:00:00,0.0,35.090878918593006,39.65839052538394,24.427830967855698,33.059033470610885,35.090878918593006,39.65839052538394,24.427830967855698,33.059033470610885
37,2023-05-29 20:00:00,0.0,2.094958520776731,23.59009907500507,69.67383157755717,31.786296391112987,2.094958520776731,23.59009907500507,69.67383157755717,31.786296391112987
38,2023-05-29 21:00:00,57.66748817045485,45.844804669739815,32.27815119206949,-92.76769435406538,-4.881579497418695,11.822683500715037,25.389336978385366,150.43518252452023,62.549067667873544
39,2023-05-29 22:00:00,0.0,14.725789306405353,3.7926020301940717,72.03074683386967,30.18304605682303,14.725789306405353,3.7926020301940717,72.03074683386967,30.18304605682303
40,2023-05-29 23:00:00,40.87227032692661,70.7288744775062,88.37480291606445,84.81425617326784,81.30597785561282,29.856604150579585,47.50253258913784,43.941985846341225,40.43370752868621
41,2023-05-30 00:00:00,0.0,12.181221191659267,0.9396848194796854,-124.49721026913653,-37.12543475266586,12.181221191659267,0.9396848194796854,124.49721026913653,37.12543475266586
42,2023-05-30 01:00:00,0.0,10.261414764762433,14.717905576090804,145.7462104496118,56.90851026348834,10.261414764762433,14.717905576090804,145.7462104496118,56.90851026348834
43,2023-05-30 02:00:00,19.555836679796233,2.1523104672435376,-1.501808172123528,-52.42802166014144,-17.259173121673808,17.403526212552695,21.05764485191976,71.98385833993767,36.81500980147004
44,2023-05-30 03:00:00,0.0,3.0671737708633686,0.4048169787153534,54.85421967882621,19.442070142801644,3.0671737708633686,0.4048169787153534,54.85421967882621,19.442070142801644
45,2023-05-30 04:00:00,54.80994707322448,27.99802578513957,18.373817408507602,-18.531604119212034,9.280079691478381,26.811921288084907,36.43612966471687,73.34155119243651,45.5298673817461
46,2023-05-30 05:00:00,70.729945682512,76.40112858120403,103.3326239091055,154.63808075989675,111.45727775006876,5.671182898692038,32.6026782265935,83.90813507738476,40.72733206755676
47,2023-05-30 06:00:00,0.0,23.880099732815644,15.033121116496297,-51.91480578376081,-4.333861644816292,23.880099732815644,15.033121116496297,51.91480578376081,4.333861644816292
48,2023-05-30 07:00:00,526.272498118611,516.264975793072,541.7227157126205,455.6199875680663,504.53589302458624,10.007522325538957,15.450217594009473,70.65251055054472,21.736605094024753
49,2023-05-30 08:00:00,925.8213263182266,929.4252402221314,883.4147414316406,917.1662880058589,910.0020898865434,3.603913903904754,42.406584886586074,8.655038312367765,15.81923643168318
50,2023-05-30 09:00:00,1332.0909675734947,1268.4758717464078,1195.5266003388376,1378.069251428585,1280.69057450461,63.61509582708686,136.56436723465708,45.97828385509024,51.400393068884796
51,2023-05-30 10:00:00,1668.4696384703132,1464.3199476514794,1370.2129849147618,1615.6783800162746,1483.4037708608387,204.14969081883373,298.25665355555134,52.7912584540386,185.06586760947448
52,2023-05-30 11:00:00,1803.1156551273477,1626.6659501095571,1492.4096853607891,1911.0273142528345,1676.7009832410602,176.44970501779062,310.7059697665586,107.91165912548672,126.41467188628758
53,2023-05-30 12:00:00,1615.4353112784488,1767.950921929867,1832.30123192719,1671.6143571925954,1757.2888370165508,152.51561065141823,216.86592064874117,56.17904591414663,141.853525738102
54,2023-05-30 13:00:00,1995.8744631091529,1804.1613720977023,1915.679049842348,1713.4218591052852,1811.0874270151116,191.71309101145062,80.19541326680496,282.4526040038677,184.78703609404124
55,2023-05-30 14:00:00,1521.384957683175,1525.5543377738295,1381.1306397230237,1749.1721523493025,1551.952376615385,4.169380090654613,140.25431796015118,227.78719466612756,30.567418932210103
56,2023-05-30 15:00:00,1448.2681260663298,1257.1803617361288,1461.0814512816244,1373.849793876097,1364.03720229795,191.08776433020103,12.813325215294526,74.41833219023283,84.23092376837985
57,2023-05-30 16:00:00,810.340435577762,1021.2398313171288,939.8591263232662,840.70738970342,933.935449114605,210.8993957393668,129.51869074550416,30.366954125657912,123.595013536843
58,2023-05-30 17:00:00,395.207967457592,607.12207899617,488.8766108519994,563.672723609868,553.2238044860123,211.91411153857797,93.66864339440735,168.46475615227592,158.01583702842032
59,2023-05-30 18:00:00,0.0,32.297964034068904,0.016392398364451215,-191.77978122959587,-53.155141599054176,32.297964034068904,0.016392398364451215,191.77978122959587,53.155141599054176
60,2023-05-30 19:00:00,0.0,15.340653010716121,0.023628837526383208,123.87354497154422,46.4126089399289,15.340653010716121,0.023628837526383208,123.87354497154422,46.4126089399289
61,2023-05-30 20:00:00,0.0,15.86908509558864,46.43479729930294,-163.77994113221519,-33.825352912441204,15.86908509558864,46.43479729930294,163.77994113221519,33.825352912441204
62,2023-05-30 21:00:00,63.20345633037761,16.701461091751362,14.129775877296147,195.3425165483688,75.3912511724721,46.50199523862625,49.073680453081465,132.1390602179912,12.187794842094483
