Forecast_Generation_W,Uncertainty_W,Minimum_Guaranteed_Energy_W,Final_Bid_Percentage
1000.0,50.0,786.25,95.0
1040.4040404040404,54.54545454545455,814.7979797979798,95.0
1080.8080808080808,59.09090909090909,843.3459595959596,94.99999999999999
1121.2121212121212,63.63636363636364,871.8939393939394,99.94974874371859
1161.6161616161617,68.18181818181819,900.4419191919192,95.0
1202.020202020202,72.72727272727273,928.9898989898991,95.0
1242.4242424242425,77.27272727272728,957.5378787878788,95.0
1282.8282828282827,81.81818181818181,986.0858585858584,95.0
1323.2323232323233,86.36363636363637,1014.6338383838385,95.0
1363.6363636363635,90.9090909090909,1043.181818181818,95.0
1404.0404040404042,95.45454545454547,1071.729797979798,95.0
1444.4444444444443,100.0,1100.2777777777776,95.0
1484.8484848484848,104.54545454545455,1128.8257575757575,95.0
1525.2525252525252,109.0909090909091,1157.3737373737374,95.0
1565.6565656565656,113.63636363636364,1185.921717171717,95.0
1606.060606060606,118.18181818181819,1214.469696969697,94.99999999999999
1646.4646464646464,122.72727272727273,1243.0176767676767,95.0
1686.8686868686868,127.27272727272728,1271.5656565656564,95.0
1727.2727272727273,131.8181818181818,1300.1136363636363,95.0
1767.6767676767677,136.36363636363637,1328.6616161616162,94.99999999999999
1808.080808080808,140.90909090909093,1357.2095959595958,95.0
1848.4848484848485,145.45454545454547,1385.7575757575758,95.0
1888.8888888888887,150.0,1414.3055555555554,95.0
1929.2929292929293,154.54545454545456,1442.8535353535353,95.0
1969.6969696969695,159.0909090909091,1471.401515151515,95.0
2010.1010101010102,163.63636363636363,1499.949494949495,95.0
2050.5050505050503,168.1818181818182,1528.4974747474746,95.0
2090.909090909091,172.72727272727275,1557.0454545454547,95.0
2131.313131313131,177.27272727272728,1585.5934343434342,95.0
2171.7171717171714,181.81818181818184,1614.1414141414139,95.0
2212.121212121212,186.36363636363637,1642.6893939393938,95.0
2252.5252525252527,190.90909090909093,1671.2373737373737,95.0
2292.929292929293,195.45454545454547,1699.7853535353534,95.0
2333.333333333333,200.0,1728.333333333333,94.99999999999999
2373.7373737373737,204.54545454545456,1756.881313131313,95.0
2414.1414141414143,209.0909090909091,1785.429292929293,95.0
2454.5454545454545,213.63636363636365,1813.9772727272725,94.99999999999999
2494.9494949494947,218.1818181818182,1842.5252525252524,95.0
2535.3535353535353,222.72727272727275,1871.0732323232323,95.0
2575.757575757576,227.27272727272728,1899.6212121212122,95.0
2616.161616161616,231.81818181818184,1928.1691919191921,95.0
2656.5656565656564,236.36363636363637,1956.7171717171716,94.99999999999999
2696.969696969697,240.90909090909093,1985.2651515151513,95.0
2737.373737373737,245.45454545454547,2013.8131313131312,95.0
2777.7777777777774,250.00000000000003,2042.3611111111106,95.0
2818.181818181818,254.54545454545456,2070.9090909090905,95.0
2858.5858585858587,259.0909090909091,2099.4570707070707,95.0
2898.989898989899,263.6363636363636,2128.0050505050503,95.0
2939.393939393939,268.1818181818182,2156.55303030303,95.0
2979.7979797979797,272.72727272727275,2185.10101010101,94.99999999999999
3020.2020202020203,277.27272727272725,2213.64898989899,95.0
3060.6060606060605,281.81818181818187,2242.1969696969695,95.0
3101.0101010101007,286.3636363636364,2270.744949494949,95.0
3141.4141414141413,290.90909090909093,2299.292929292929,95.0
3181.8181818181815,295.4545454545455,2327.8409090909086,95.0
3222.222222222222,300.0,2356.3888888888887,95.0
3262.6262626262624,304.54545454545456,2384.9368686868684,95.0
3303.030303030303,309.0909090909091,2413.4848484848485,95.0
3343.434343434343,313.6363636363637,2442.032828282828,95.0
3383.838383838384,318.1818181818182,2470.580808080808,95.0
3424.242424242424,322.72727272727275,2499.1287878787875,95.0
3464.6464646464647,327.2727272727273,2527.6767676767677,95.0
3505.050505050505,331.81818181818187,2556.224747474747,95.0
3545.4545454545455,336.3636363636364,2584.7727272727275,95.0
3585.8585858585857,340.90909090909093,2613.3207070707067,95.0
