YEAR,MO,DY,HR,ALLSKY_SFC_SW_DWN,T2M,RH2M,solar_power_w
2024,1,1,0,0.0,6.2149448909658975,62.402412097322255,0.0
2024,1,1,1,0.0,6.687264529699475,78.54303403438078,0.0
2024,1,1,2,0.0,5.423082816574567,62.23554761393363,0.0
2024,1,1,3,0.0,9.844408310025477,67.8299389815036,0.0
2024,1,1,4,0.0,6.782567813073528,68.64303262278612,0.0
2024,1,1,5,0.0,8.000585973805903,57.34211649049153,0.0
2024,1,1,6,12.098113578301707,6.394956095627836,46.355865579241836,1209.8113578301707
2024,1,1,7,178.94085961996797,9.48994956978719,63.65252375616555,17894.085961996796
2024,1,1,8,354.5987962239394,9.896909182272848,74.75957850694269,35459.87962239394
2024,1,1,9,554.3966099249112,13.892106900252017,41.86041123761342,55439.660992491124
2024,1,1,10,665.6011868012918,14.773488783285357,43.71657544249162,66560.11868012918
2024,1,1,11,791.5255619485382,13.849868336551165,53.23319416551607,79152.55619485382
2024,1,1,12,769.9146693885301,18.926072953961306,50.93895479865935,76991.46693885302
2024,1,1,13,719.8551145834596,16.69623554059515,41.09532795969462,71985.51145834595
2024,1,1,14,703.2635027777887,10.632303356106073,46.08583615490962,70326.35027777887
2024,1,1,15,575.5284867426942,15.23398365086699,56.47969916103271,57552.84867426942
2024,1,1,16,394.21758588058793,12.119309193764854,43.09547090256087,39421.758588058794
2024,1,1,17,171.0630256622814,10.59433426853646,69.9768879936527,17106.30256622814
2024,1,1,18,17.18091447842317,6.695436274217964,66.54540341973,1718.091447842317
2024,1,1,19,0.0,8.157256798598194,55.073523198342215,0.0
2024,1,1,20,0.0,8.944869162625169,71.36512606233434,0.0
2024,1,1,21,0.0,8.548542917243093,53.05928185053052,0.0
2024,1,1,22,0.0,5.27296481431881,68.03966949971682,0.0
2024,1,1,23,0.0,7.342977707742809,57.86527991380429,0.0
2024,1,2,0,0.0,4.887677494948162,54.048972764991554,0.0
2024,1,2,1,0.0,3.0369530686691126,75.08830515527288,0.0
2024,1,2,2,0.0,8.641348486495248,60.638550297701414,0.0
2024,1,2,3,0.0,8.730527338127107,64.88583291234924,0.0
2024,1,2,4,0.0,6.468755939065547,67.1452001160186,0.0
2024,1,2,5,0.0,12.04097335569513,57.60076625320536,0.0
2024,1,2,6,78.2321827907003,5.019505240096307,73.19951980365593,7823.218279070031
2024,1,2,7,211.40758949392514,10.955075972856665,59.96253179249836,21140.758949392515
2024,1,2,8,300.6215542699553,12.319651672600772,61.25147404251669,30062.15542699553
2024,1,2,9,639.5801271863138,12.757988917661239,49.157075053406885,63958.01271863138
2024,1,2,10,667.732470848324,16.419926702602137,56.867584393994704,66773.2470848324
2024,1,2,11,746.2526508429027,16.11515944594785,54.85561604753255,74625.26508429027
2024,1,2,12,848.4322495266445,13.854889260521091,52.868489273501226,84843.22495266444
2024,1,2,13,753.1352533746467,12.1615946834569,60.799608087188865,75313.52533746467
2024,1,2,14,705.8730866365455,14.599349380482911,53.05477928576562,70587.30866365455
2024,1,2,15,494.9168878467173,12.953238708677816,53.61961612605449,49491.68878467173
2024,1,2,16,359.886136538919,12.436424024943777,61.60408454320161,35988.6136538919
2024,1,2,17,301.36453114254334,11.902246299452079,60.67325760777556,30136.453114254335
2024,1,2,18,0.0,6.421453017677713,63.31340822783012,0.0
2024,1,2,19,0.0,9.085360642645243,85.54706048220763,0.0
2024,1,2,20,0.0,7.374273518713553,65.64119990462257,0.0
2024,1,2,21,0.0,6.654038002932573,51.659181620872104,0.0
2024,1,2,22,0.0,8.214514058383644,69.3048162684841,0.0
2024,1,2,23,0.0,7.011430210916548,53.89469524113606,0.0
2024,1,3,0,0.0,8.104949403357127,47.87653996872007,0.0
2024,1,3,1,0.0,6.643445837640128,85.26111042045966,0.0
2024,1,3,2,0.0,3.988161112301359,60.348861591670925,0.0
2024,1,3,3,0.0,6.963129605727473,58.00211385311054,0.0
2024,1,3,4,0.0,4.698033919352663,65.98759582870761,0.0
2024,1,3,5,0.0,6.880658128520116,67.8552661778317,0.0
2024,1,3,6,0.0,13.399229591520008,48.768237485117616,0.0
2024,1,3,7,190.95216027173282,13.220490441736871,44.47086639392358,19095.216027173283
2024,1,3,8,411.3729967302064,15.413646290049785,38.51152136433794,41137.29967302064
2024,1,3,9,574.9171178758533,14.354660275914513,63.46356844185859,57491.71178758532
2024,1,3,10,630.9727874836468,11.98857457423857,63.23084108193041,63097.27874836468
2024,1,3,11,787.589894692914,15.629975613622022,57.83450648134773,78758.9894692914
2024,1,3,12,765.9987639210755,15.763868175806936,57.16685655717988,76599.87639210754
2024,1,3,13,737.0230901299362,18.860538935219783,55.8777902738981,73702.30901299362
2024,1,3,14,633.2551481674186,15.942595017674783,44.310588280052,63325.51481674186
2024,1,3,15,605.0396551363607,16.152085845432474,45.64109097105042,60503.96551363607
2024,1,3,16,448.168806462216,13.624922635357924,64.59567896458697,44816.8806462216
2024,1,3,17,301.8948852147142,11.102679774991792,51.35995858143331,30189.48852147142
2024,1,3,18,0.0,8.667740211554051,60.56124269430491,0.0
2024,1,3,19,0.0,9.687569505605612,63.079338487694585,0.0
2024,1,3,20,0.0,9.453727279556977,60.67629163922209,0.0
2024,1,3,21,0.0,9.670895029866827,57.682536637753614,0.0
2024,1,3,22,0.0,11.409572095741973,64.84710138190809,0.0
2024,1,3,23,0.0,3.755416537207022,55.53565848218185,0.0
2024,1,4,0,0.0,6.307545453937822,61.45782669280367,0.0
2024,1,4,1,0.0,6.940972480190294,67.79140376554516,0.0
2024,1,4,2,0.0,5.866815779215513,55.66524704010044,0.0
