timestamp,actual,prophet_predicted
2024-12-01 00:00:00,0.0,-1169.3221447077376
2024-12-01 01:00:00,0.0,-368.2584231014371
2024-12-01 02:00:00,0.0,814.3570704277045
2024-12-01 03:00:00,0.0,395.4112248716774
2024-12-01 04:00:00,0.0,-1451.1449195639398
2024-12-01 05:00:00,0.0,-1314.9407486545824
2024-12-01 06:00:00,0.0,5160.184868227083
2024-12-01 07:00:00,22958.51526459732,19504.443535234022
2024-12-01 08:00:00,36689.05726161669,38667.51529404022
2024-12-01 09:00:00,54062.39745770654,56968.9450304295
2024-12-01 10:00:00,64948.38113608651,69967.35124840475
2024-12-01 11:00:00,79469.91822528708,76738.97763253251
2024-12-01 12:00:00,75104.097818612,78756.17818095112
2024-12-01 13:00:00,79872.25344446841,76950.52634777353
2024-12-01 14:00:00,67676.1853075367,70238.573509909
2024-12-01 15:00:00,60245.88504133224,57116.048674212216
2024-12-01 16:00:00,43065.61249614592,38612.23193888427
2024-12-01 17:00:00,15602.398405682578,19316.638673816495
2024-12-01 18:00:00,4995.74797308594,4981.773051379339
2024-12-01 19:00:00,0.0,-1386.5221255531396
2024-12-01 20:00:00,0.0,-1418.4039655471024
2024-12-01 21:00:00,0.0,467.98308733456724
2024-12-01 22:00:00,0.0,875.968714906463
2024-12-01 23:00:00,0.0,-319.5186529694074
2024-12-02 00:00:00,0.0,-1113.684196258324
2024-12-02 01:00:00,0.0,-339.4235844909672
2024-12-02 02:00:00,0.0,816.1240562588719
2024-12-02 03:00:00,0.0,370.09010108008806
2024-12-02 04:00:00,0.0,-1503.330233398323
2024-12-02 05:00:00,0.0,-1393.5248908636386
2024-12-02 06:00:00,0.0,5055.903576715078
2024-12-02 07:00:00,19325.708125926656,19375.395634638266
2024-12-02 08:00:00,35582.77947119075,38514.85049073965
2024-12-02 09:00:00,55822.77255008759,56794.020358563925
2024-12-02 10:00:00,65421.20886843184,69771.71724139171
2024-12-02 11:00:00,71669.81976406735,76524.3626450831
2024-12-02 12:00:00,91657.43046278418,78524.47104250612
2024-12-02 13:00:00,69035.5984292775,76703.75753922763
2024-12-02 14:00:00,62910.59618750048,69978.8950717258
2024-12-02 15:00:00,52994.0132596759,56845.713067110584
2024-12-02 16:00:00,50390.78308555014,38333.57008841804
2024-12-02 17:00:00,21433.13606925349,19032.037437867573
2024-12-02 18:00:00,4406.807433030622,4693.652354414731
2024-12-02 19:00:00,0.0,-1675.7322454643436
2024-12-02 20:00:00,0.0,-1706.2861520204133
2024-12-02 21:00:00,0.0,183.81111274997238
2024-12-02 22:00:00,0.0,597.8323902521879
2024-12-02 23:00:00,0.0,-589.3716332098811
2024-12-03 00:00:00,0.0,-1373.1037110817306
2024-12-03 01:00:00,0.0,-586.3756433306444
2024-12-03 02:00:00,0.0,583.5402129879294
2024-12-03 03:00:00,0.0,153.6265229003293
2024-12-03 04:00:00,0.0,-1702.0839203710566
2024-12-03 05:00:00,0.0,-1573.1533080747904
2024-12-03 06:00:00,0.0,4896.631725161224
2024-12-03 07:00:00,9604.242034003588,19237.5197934642
2024-12-03 08:00:00,40659.08866298359,38399.21259611222
2024-12-03 09:00:00,64251.82163862369,56701.26133329307
2024-12-03 10:00:00,64059.85131871619,69702.2756243835
2024-12-03 11:00:00,70740.45125706567,76478.47534639324
2024-12-03 12:00:00,86850.6945240228,78502.17616872219
2024-12-03 13:00:00,71701.52976265512,76704.89922183324
2024-12-03 14:00:00,72407.63458445472,70003.13019924617
2024-12-03 15:00:00,62309.56641820626,56892.51981172769
2024-12-03 16:00:00,40546.68451798672,38402.258088563416
2024-12-03 17:00:00,23257.72349820665,19121.75948134695
2024-12-03 18:00:00,0.0,4803.4174097095965
2024-12-03 19:00:00,0.0,-1547.044852389663
2024-12-03 20:00:00,0.0,-1559.911591420503
2024-12-03 21:00:00,0.0,346.5390853294084
2024-12-03 22:00:00,0.0,775.4979016223442
2024-12-03 23:00:00,0.0,-398.2497568060062
2024-12-04 00:00:00,0.0,-1170.0549882741507
2024-12-04 01:00:00,0.0,-372.961050980859
2024-12-04 02:00:00,0.0,805.7448541608646
2024-12-04 03:00:00,0.0,383.04669446162734
2024-12-04 04:00:00,0.0,-1467.0059433161077
2024-12-04 05:00:00,0.0,-1333.9437951380241
2024-12-04 06:00:00,6850.131881881137,5138.491631090521
2024-12-04 07:00:00,23756.744897149256,19480.60661249122
2024-12-04 08:00:00,46302.14699611629,38642.17178498177
2024-12-04 09:00:00,61260.499165221736,56942.81718793504
2024-12-04 10:00:00,68925.44285018099,69941.23972283062
2024-12-04 11:00:00,80122.98285579748,76713.75346440985
2024-12-04 12:00:00,80308.85435688273,78732.77362376184
2024-12-04 13:00:00,85088.51520151633,76929.92461821779
2024-12-04 14:00:00,69690.30842661897,70221.7975780921
2024-12-04 15:00:00,64567.06350016432,57104.14921994018
